Part,Pattern,Avg_Weekly_Demand,Demand_Std,LeadTime_Demand,Safety_Stock,Reorder_Point,Forecast_Next_8wk
ENGINE OIL,Smooth,50.6,11.7,101.2,27.2,129,431
CHAIN LUBRICATION,Smooth,44.5,10.6,89.0,24.6,114,380
AIR FILTER,Smooth,30.5,8.0,61.0,18.6,80,274
3M OIL,Smooth,23.9,7.5,47.8,17.5,66,187
SPROCKET RUBBER,Intermittent,21.1,7.1,42.2,16.5,59,196
DISC OIL,Smooth,19.5,6.6,39.0,15.4,55,154
OIL FILTER,Smooth,15.0,5.8,30.0,13.6,44,125
BRAKE SHOE,Smooth,14.2,8.8,28.5,20.4,49,83
DISC PAD,Smooth,7.6,3.8,15.2,8.7,24,59
SPARK PLUG,Erratic,7.4,4.7,14.8,10.9,26,35
CHAIN SPROCKET,Smooth,6.9,2.8,13.8,6.5,21,58
WHEEL RUBBER,Smooth,1.4,1.6,2.8,3.6,7,4
