week,ENGINE OIL,CHAIN LUBRICATION,AIR FILTER,3M OIL,DISC OIL,BRAKE SHOE,OIL FILTER,DISC PAD,WHEEL RUBBER,SPARK PLUG,CHAIN SPROCKET,SPROCKET RUBBER
2017-05-29,27,20,1,15,5,1,3,2,1,1,0,0
2017-06-05,40,37,3,18,18,9,5,6,7,4,3,0
2017-06-12,45,44,0,24,21,16,7,8,11,2,1,0
2017-06-19,45,44,1,21,17,10,15,6,8,2,1,0
2017-06-26,39,33,0,15,17,10,9,6,9,1,7,0
2017-07-03,38,33,0,14,6,9,5,7,6,4,3,0
2017-07-10,40,41,7,21,19,8,3,7,9,0,4,0
2017-07-17,38,35,12,19,10,6,5,6,6,1,4,0
2017-07-24,38,35,13,16,8,7,4,5,7,4,4,0
2017-07-31,33,32,10,15,5,5,3,4,3,2,2,0
2017-08-07,40,37,18,16,6,9,8,6,7,4,6,0
2017-08-14,29,29,10,15,4,3,6,3,1,1,3,0
2017-08-21,29,25,13,12,2,6,6,4,3,2,3,0
2017-08-28,39,36,10,16,7,15,10,5,6,5,3,0
2017-09-04,45,41,16,20,12,5,5,10,8,5,4,0
2017-09-11,40,39,16,21,5,9,4,1,5,6,1,0
2017-09-18,55,52,27,22,11,11,8,9,7,1,4,0
2017-09-25,32,32,13,11,1,7,4,2,3,2,2,0
2017-10-02,49,44,18,22,8,11,5,3,1,4,5,0
2017-10-09,50,41,28,21,7,15,11,7,11,2,7,0
2017-10-16,30,27,12,15,5,7,5,4,5,1,2,0
2017-10-23,5,4,2,2,2,1,2,0,0,0,1,0
2017-10-30,51,50,19,24,19,10,6,6,4,5,6,0
2017-11-06,54,49,17,25,7,7,8,6,5,6,5,0
2017-11-13,45,40,24,17,8,17,7,11,8,3,5,0
2017-11-20,41,40,23,19,8,13,7,5,7,1,3,0
2017-11-27,38,33,26,11,2,13,7,7,9,0,2,0
2017-12-04,47,44,29,17,2,9,9,4,11,3,3,0
2017-12-11,57,52,27,20,2,15,6,14,12,1,6,0
2017-12-18,45,44,21,16,7,6,6,4,5,0,1,0
2017-12-25,47,48,23,25,8,13,7,7,13,2,3,0
2018-01-01,38,32,15,16,2,11,10,2,8,3,6,0
2018-01-08,39,37,15,22,6,10,5,7,3,1,2,0
2018-01-15,37,36,19,15,2,6,4,7,6,2,1,0
2018-01-22,25,23,19,7,6,5,0,8,2,1,4,0
2018-01-29,46,41,27,17,3,15,8,7,14,2,5,0
2018-02-05,56,52,32,20,6,17,4,13,12,4,9,0
2018-02-12,40,38,12,19,5,5,9,4,5,0,6,0
2018-02-19,51,46,21,19,8,10,11,6,8,3,7,0
2018-02-26,52,42,14,22,7,15,12,8,4,1,8,0
2018-03-05,51,40,10,17,14,8,11,12,7,8,8,0
2018-03-12,47,42,8,20,17,10,20,8,3,0,4,0
2018-03-19,45,39,11,22,11,5,12,6,3,1,3,0
2018-03-26,46,45,20,21,18,14,17,6,4,1,4,0
2018-04-02,46,40,17,16,15,13,10,8,5,1,8,0
2018-04-09,54,45,16,17,14,7,9,13,4,2,8,1
2018-04-16,52,44,15,21,19,15,11,4,6,3,6,0
2018-04-23,44,41,19,16,17,8,7,4,5,7,1,0
2018-04-30,44,43,17,17,16,12,15,6,3,2,3,0
2018-05-07,43,37,24,10,14,11,8,13,7,2,6,0
2018-05-14,47,42,19,25,5,9,12,8,7,0,4,0
2018-05-21,46,41,22,13,11,12,8,7,4,3,4,0
2018-05-28,55,54,16,24,14,18,12,9,7,4,3,0
2018-06-04,52,48,17,18,9,20,8,11,6,1,4,0
2018-06-11,45,41,23,17,12,8,13,3,10,4,6,0
2018-06-18,58,53,22,23,10,10,19,4,13,15,6,1
2018-06-25,48,43,22,23,12,5,10,6,6,4,4,0
2018-07-02,60,57,31,31,5,13,12,8,13,8,3,0
2018-07-09,49,44,27,24,10,11,17,8,6,6,3,0
2018-07-16,50,45,29,13,7,18,12,6,19,18,3,0
2018-07-23,35,33,14,15,4,11,7,3,11,9,2,1
2018-07-30,44,45,24,24,7,11,14,4,14,8,2,0
2018-08-06,43,36,22,12,7,14,7,5,13,9,9,0
2018-08-13,48,47,28,18,13,18,15,6,12,12,2,0
2018-08-20,60,49,42,29,15,13,11,6,13,15,6,0
2018-08-27,29,27,16,12,15,9,12,6,5,7,2,0
2018-09-03,51,41,41,23,21,15,18,6,14,13,9,9
2018-09-10,51,48,29,29,16,11,11,12,10,9,5,9
2018-09-17,51,42,33,20,25,25,12,12,3,20,9,23
2018-09-24,53,48,30,24,26,18,12,14,5,12,7,12
2018-10-01,58,47,33,20,28,24,8,14,5,19,12,20
2018-10-08,55,52,39,25,26,21,12,9,1,17,5,18
2018-10-15,56,47,30,25,21,17,13,9,5,10,9,16
2018-10-22,51,41,27,21,17,12,11,16,2,15,9,21
2018-10-29,57,52,32,27,22,12,22,4,2,5,6,20
2018-11-05,20,17,11,11,5,9,8,4,0,5,2,8
2018-11-12,53,51,25,31,16,11,11,8,0,2,3,14
2018-11-19,45,41,32,22,16,14,16,7,0,7,5,19
2018-11-26,68,57,42,30,28,39,29,7,2,14,11,35
2018-12-03,58,50,30,33,22,15,18,7,3,13,9,22
2018-12-10,43,38,32,19,17,9,10,6,1,6,7,21
2018-12-17,53,46,40,18,31,19,12,12,2,6,7,30
2018-12-24,56,54,28,35,17,4,14,2,0,0,5,21
2018-12-31,47,40,37,15,22,10,16,9,0,6,10,26
